municipality,year,url,alt_url
Windsor,2026,https://www.facebook.com/ExeterTV/videos/2026-town-election-results/2397236710739019/,https://www.auburnma.gov/DocumentCenter/View/20023/May-19-2026-Official-Election-Results
Winchendon,2026,https://www.townofwinchendon.com/222/Election-Results,https://www.thegardnernews.com/story/news/politics/government/2025/05/06/winchendon-ma-override-2025-annual-town-election-results-library-senior-center/83471906007/
Williamstown,2026,https://williamstownma.gov/annual-town-election-results/,https://williamstownma.gov/2025-annual-town-election-results/
Williamsburg,2026,https://www.burgy.org/town-clerk/pages/town-meeting-election-results,https://thereminder.com/local-news/unofficial-election-results-show-tight-victory-for-east-longmeadow-town-council/
Williamsburg,2024,https://www.burgy.org/town-clerk/pages/town-meeting-election-results,
Whately,2022,https://www.facebook.com/townofwhately/posts/election-results-are-up-on-our-website-please-visit-our-website-to-view-them-tha/415728480976244/,
Whately,2021,https://www.facebook.com/townofwhately/posts/election-results-are-up-on-our-website-please-visit-our-website-to-view-them-tha/415728480976244/,https://frcog.org/wp-content/uploads/2024/06/Whately-HPP_Final_APPROVED_2023.pdf
Westport,2021,https://www.heraldnews.com/story/news/politics/elections/local/2021/04/14/westport-election-results-selectmen-incumbents-defeat-challenger-boxler-brewer-moniz-beaulieu/7217793002/,https://www.facebook.com/ShrewsburyMassachusetts/posts/unofficial-annual-town-election-results-may-4-2021/2069577789850457/
Weston,2026,https://westonobserver.org/special-election-results/,
Westhampton,2024,https://westhamptonma.gov/wp-content/uploads/ELECTION-RESULTS-JUNE-2024.pdf,
Westhampton,2021,https://cummington-ma.gov/PDFs/TownReportFY2021.pdf,
West Brookfield,2022,https://www.brookfieldvt.org/wp/wp-content/uploads/2022/12/BTR-2021.pdf,https://www.arlingtonma.gov/home/showdocument?id=64842&t=638168938207815504
West Bridgewater,2023,https://scituatema.gov/DocumentCenter/View/864/2013-Annual-Town-Report,
West Bridgewater,2022,https://www.arlingtonma.gov/home/showdocument?id=64842&t=638168938207815504,
West Bridgewater,2021,https://www.arlingtonma.gov/home/showdocument?id=64842&t=638168938207815504,
Wendell,2022,https://www.facebook.com/townofbarnstable/posts/election-results-are-in-town-councilprecinct-1-ann-canedy-uncontested-392precinc/10151981943435071/,https://www.winchester.us/DocumentCenter/View/9155/2022-Fall-Town-Meeting-Motion-Book---REVISED
Wendell,2021,https://www.facebook.com/townofbarnstable/posts/election-results-are-in-town-councilprecinct-1-ann-canedy-uncontested-392precinc/10151981943435071/,https://www.townoflenox.com/DocumentCenter/View/371/Annual-Town-Report-2021
Washington,2021,https://mountwashington-ma.gov/departments/town-clerk/election-results/,https://www.dedhamma.gov/town-departments/town-clerk/elections-voting/election-results
Warren,2023,https://www.brooklinema.gov/DocumentCenter/View/41390/Official-Annual-Town-Election-Results-May-2-2023-PDF,https://www.monson-ma.gov/DocumentCenter/View/182/Annual-Town-Election-Results-June-16-2023-PDF
Warren,2022,https://www.wilbraham-ma.gov/933/May-2022-Town-Election-Results,https://lexingtonma.gov/DocumentCenter/View/1782/March-7-2022---Annual-Town-Election-PDF
